species,state,county,location,zone,zone location,season,dates,limit,min_size,max_size,exception
"lake_trout, splake",michigan,,lake superior,MI 4-8,"Big Bay, Marquette, Au Train, Munising, Grand Marais, Pendills Bay, Brimley State Park",,,5,15,34,only allowed 1 over the max of 34. 
"lake_trout, splake",michigan,,lake huron,MH 1-6,"DeTour, Cedarville, St. Ignace, Mackinaw City, Cheboygan, Rogers City, Presque Isle, Rockport, Alpena, Black R, Harrisville, Tawas, Grindstone, Harbor Beach, Lexington",,Jan. 1 - Sep. 30,3,15,,
"lake_trout, splake",michigan,,lake michigan,MM 1-3,"Menominee, Escanaba, Manistique, Harbor Springs, Charlevoix",,Jan. 1 - Sep. 30,3,15,27,
"lake_trout, splake",michigan,,lake michigan,MM 4,"Elk Rapids, Traverse City, Northport",,Jan. 1 - Sep. 30,5,15,34,only one over the max of 34
"lake_trout, splake",michigan,,lake michigan,MM 5,"Leland, Frankfort, Platte Bay",,Jan. 1 - Sep. 30,5,15,,
"lake_trout, splake",michigan,,lake michigan,MM 6-8,"Arcadia, Manistee, Ludington, Grand Haven, Holland, New Buffalo",,Jan. 1 - Oct. 31,3,15,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"muskellunge, tiger_muskellunge",pennsylvania,,,,,,,1,40,,Except those species in waters listed in the Brood Stock Lakes Program.
pickerel,pennsylvania,,,,,,,4,18,,Except those species in waters listed in the Brood Stock Lakes Program.
northern_pike,pennsylvania,,,,,,,2,24,,Except those species in waters listed in the Brood Stock Lakes Program.
"walleye, saugeye, (hybrids)",pennsylvania,,,,,,Jan. 1 - March 14,6,15,,
"walleye, saugeye, (hybrids)",pennsylvania,,,,,,May 6 - Dec 31,6,15,,
sauger,pennsylvania,,,,,,Jan. 1 - March 14,6,12,,
sauger,pennsylvania,,,,,,May 6 - Dec 31,6,12,,
american_shad,pennsylvania,,,,,,,3,,,
american_shad,pennsylvania,"Lehigh River, Schuylkill River and tributaries",,,,,,,,,"catch and release immediately.  Lehigh River upstream of the first dam in Easton, Pennsylvania and its tributaries and the Schuylkill River upstream of the I-95 Bridge and its tributaries. "
"american_shad, river_herring",pennsylvania,Susquehanna River and tributaries,,,,,,,,,"Unlawful to take, catch or kill American Shad, in the Susquehanna River and all its tributaries. River Herring (Alewife and Blueback Herring) has a closed year-round season with zero daily limit applied to Susquehanna River and tributaries, Lehigh River and tributaries, Schuylkill River and tributaries, West Branch Delaware River, Delaware River, Delaware estuary, Delaware River tributaries upstream to the limit of the tidal influence, and Conowingo Reservoir."
hickory_shad,pennsylvania,,,,,,,,,,closed year round
